 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   1692,         4.1160,        -0.4639,         3.6522,         1.6053,         1.5363,       162.7124,       202.4251,       193.8911,       242.4084,       272.7722,       456.8289,         2.1158,     83168.0156,     72145.0000
   1693,         4.1794,        -0.1870,         3.9923,         1.9729,         1.7393,       163.1413,       202.5547,       194.4109,       241.9015,       272.7039,       456.7927,         2.2530,     83166.5312,     72145.4609
   1694,         2.4493,         1.9804,         4.4297,         2.3584,         1.9062,       163.7607,       202.7227,       195.0839,       241.2342,       272.6199,       456.7635,         2.5235,     83164.8125,     72145.9219
   1695,         1.9715,         1.3736,         3.3451,         1.1519,         1.2678,       163.7756,       202.7698,       195.2736,       240.8544,       272.5625,       456.7113,         2.0774,     83163.4688,     72146.4062
   1696,         2.0381,         0.8240,         2.8621,         0.5882,         0.9977,       163.5096,       202.7605,       195.2378,       240.6158,       272.5184,       456.6555,         1.8644,     83162.2422,     72146.9688
   1697,         3.8591,        -0.5209,         3.3381,         1.3061,         1.3702,       163.6027,       202.8231,       195.4892,       240.2968,       272.4666,       456.6097,         1.9679,     83160.8984,     72147.4688
   1698,         4.2388,        -0.8031,         3.4357,         1.4338,         1.4745,       163.7594,       202.8985,       195.7913,       239.9941,       272.4161,       456.5638,         1.9612,     83159.6094,     72147.9609
   1699,         4.0423,        -0.2479,         3.7944,         1.7621,         1.6649,       164.0796,       203.0065,       196.2243,       239.5992,       272.3568,       456.5246,         2.1295,     83158.1875,     72148.4141
   1700,         3.6041,         0.8407,         4.4449,         2.4473,         1.9815,       164.7403,       203.1832,       196.9303,       238.9975,       272.2772,       456.4947,         2.4634,     83156.6094,     72148.8594
   1701,         3.7550,         0.7695,         4.5245,         2.4144,         1.9421,       165.3823,       203.3565,       197.6222,       238.3369,       272.1915,       456.4614,         2.5825,     83154.9297,     72149.3047
   1702,         3.4795,         1.1651,         4.6446,         2.3227,         1.8719,       165.9763,       203.5206,       198.2764,       237.5654,       272.0946,       456.4294,         2.7727,     83153.1094,     72149.7891
   1703,         3.5953,         1.1539,         4.7492,         2.2791,         1.8308,       166.5466,       203.6804,       198.9122,       236.7167,       271.9895,       456.3942,         2.9184,     83151.2188,     72150.3281
   1704,         3.4073,         1.2459,         4.6532,         2.1645,         1.7550,       167.0577,       203.8286,       199.5015,       235.8989,       271.8865,       456.3504,         2.8982,     83149.3438,     72150.8672
   1705,         2.7935,         1.7568,         4.5503,         2.0528,         1.6755,       167.5112,       203.9654,       200.0452,       235.0910,       271.7838,       456.3016,         2.8748,     83147.4531,     72151.3750
   1706,         3.4088,         1.2301,         4.6390,         2.0428,         1.6480,       167.9583,       204.1012,       200.5843,       234.2166,       271.6740,       456.2505,         2.9909,     83145.5625,     72151.9531
   1707,         3.1835,         1.4480,         4.6315,         1.9645,         1.5965,       168.3647,       204.2291,       201.0913,       233.3259,       271.5618,       456.1957,         3.0350,     83143.5703,     72152.5156
   1708,         3.0639,         1.6954,         4.7593,         1.9743,         1.5842,       168.7746,       204.3580,       201.6015,       232.2623,       271.4319,       456.1394,         3.1750,     83141.4062,     72153.1562
   1709,         2.4139,         2.2511,         4.6650,         1.8897,         1.5208,       169.1408,       204.4786,       202.0770,       231.2400,       271.3057,       456.0698,         3.1442,     83139.2344,     72153.7578
   1710,         3.2083,         0.9210,         4.1293,         1.5209,         1.3282,       169.3218,       204.5621,       202.4045,       230.4672,       271.2031,       455.9827,         2.8011,     83137.3516,     72154.3203
   1711,         3.9269,        -0.1942,         3.7327,         1.2865,         1.2323,       169.3851,       204.6223,       202.6380,       229.8985,       271.1202,       455.8902,         2.5004,     83135.6328,     72154.7891
   1712,         3.6171,        -0.0503,         3.5667,         1.2913,         1.2776,       169.4507,       204.6830,       202.8732,       229.4667,       271.0505,       455.7980,         2.2891,     83134.0547,     72155.1641
   1713,         2.9612,         0.2584,         3.2196,         0.9799,         1.1534,       169.3607,       204.7124,       202.9836,       229.1790,       270.9948,       455.7064,         2.0662,     83132.6562,     72155.6094
   1714,         3.0473,         0.1389,         3.1862,         1.0731,         1.2189,       169.3175,       204.7513,       203.1311,       228.9488,       270.9447,       455.6195,         1.9672,     83131.3828,     72156.1250
   1715,         3.9020,        -0.6360,         3.2660,         1.2788,         1.3511,       169.3773,       204.8107,       203.3606,       228.7470,       270.8974,       455.5365,         1.9149,     83130.1094,     72156.6406
   1716,         3.8789,        -0.1851,         3.6937,         1.9064,         1.6812,       169.7501,       204.9328,       203.8408,       228.4757,       270.8429,       455.4594,         2.0125,     83128.7656,     72157.1016
   1717,         3.5490,         0.4829,         4.0319,         2.2349,         1.8297,       170.2853,       205.0875,       204.4515,       228.0798,       270.7757,       455.3860,         2.2023,     83127.2812,     72157.5078
   1718,         3.9036,         0.3905,         4.2941,         2.2954,         1.8441,       170.8490,       205.2482,       205.0854,       227.5405,       270.6939,       455.3139,         2.4500,     83125.6406,     72157.9531
   1719,         3.6286,         0.8246,         4.4531,         2.2608,         1.8115,       171.3934,       205.4055,       205.7048,       226.9151,       270.6028,       455.2394,         2.6416,     83123.8984,     72158.4375
   1720,         3.5316,         0.8464,         4.3780,         2.0896,         1.7133,       171.8504,       205.5456,       206.2546,       226.2514,       270.5073,       455.1581,         2.6648,     83122.1328,     72158.9688
   1721,         3.1767,         0.4929,         3.6696,         1.4991,         1.4264,       172.0112,       205.6267,       206.5678,       225.8685,       270.4394,       455.0631,         2.2432,     83120.5859,     72159.3438
   1722,         3.7616,        -0.3175,         3.4441,         1.3563,         1.3791,       172.1005,       205.6934,       206.8235,       225.6160,       270.3841,       454.9699,         2.0651,     83119.2422,     72159.8047
   1723,         3.8691,        -0.1389,         3.7301,         1.7854,         1.6042,       172.4037,       205.8031,       207.2505,       225.3422,       270.3266,       454.8823,         2.1260,     83117.8750,     72160.2578
   1724,         3.7685,         0.2600,         4.0285,         2.0698,         1.7449,       172.8476,       205.9413,       207.7905,       224.9771,       270.2596,       454.7997,         2.2837,     83116.3672,     72160.7031
   1725,         3.1561,         0.4612,         3.6173,         1.4690,         1.4446,       172.9897,       206.0193,       208.0896,       224.6954,       270.2007,       454.7108,         2.1728,     83114.9531,     72161.1406
   1726,         1.1856,         1.8707,         3.0563,         0.8883,         1.1592,       172.8419,       206.0392,       208.1559,       224.5645,       270.1568,       454.6202,         1.8971,     83113.8047,     72161.7031
   1727,         2.0566,         1.5185,         3.5751,         1.8067,         1.5770,       173.1530,       206.1506,       208.5892,       224.3594,       270.1053,       454.5365,         1.9980,     83112.5625,     72162.1953
   1728,         2.5167,         1.2096,         3.7264,         1.8950,         1.5788,       173.5069,       206.2709,       209.0571,       224.0678,       270.0448,       454.4543,         2.1475,     83111.1641,     72162.5703
   1729,         3.4565,         0.1832,         3.6397,         1.7208,         1.4814,       173.7728,       206.3738,       209.4547,       223.7805,       269.9844,       454.3700,         2.1583,     83109.7578,     72163.0156
   1730,         3.1175,         0.7205,         3.8380,         1.8869,         1.5604,       174.1206,       206.4933,       209.9182,       223.4271,       269.9171,       454.2868,         2.2775,     83108.2656,     72163.3906
   1731,         3.3685,         0.0719,         3.4404,         1.3525,         1.2935,       174.2002,       206.5593,       210.1674,       223.1670,       269.8589,       454.1974,         2.1469,     83106.8750,     72163.8359
   1732,         2.6870,         0.0516,         2.7385,         0.7077,         1.0204,       173.9580,       206.5608,       210.1588,       223.1748,       269.8277,       454.1046,         1.7181,     83105.6797,     72164.3984
   1733,         3.0390,        -0.2913,         2.7477,         0.8500,         1.1313,       173.7876,       206.5766,       210.2071,       223.2359,       269.8019,       454.0190,         1.6163,     83104.5859,     72164.8906
   1734,         3.0292,        -0.2634,         2.7658,         0.8903,         1.1615,       173.6380,       206.5965,       210.2723,       223.2968,       269.7765,       453.9388,         1.6042,     83103.5312,     72165.3750
   1735,         2.7352,        -0.0781,         2.6571,         0.8296,         1.1765,       173.4586,       206.6112,       210.3161,       223.4260,       269.7577,       453.8616,         1.4806,     83102.5703,     72165.7969
   1736,         2.5771,         0.0249,         2.6020,         0.7797,         1.1556,       173.2548,       206.6215,       210.3425,       223.5682,       269.7401,       453.7886,         1.4464,     83101.6328,     72166.1953
   1737,         2.6563,        -0.0142,         2.6421,         0.9204,         1.2448,       173.1221,       206.6465,       210.4280,       223.7326,       269.7245,       453.7190,         1.3973,     83100.7734,     72166.5703
   1738,         1.5518,         1.2330,         2.7848,         1.1130,         1.3333,       173.0862,       206.6910,       210.5915,       223.8583,       269.7051,       453.6530,         1.4515,     83099.8359,     72166.9453
   1739,         2.3132,         0.4267,         2.7399,         1.0398,         1.2684,       173.0133,       206.7286,       210.7272,       223.9692,       269.6839,       453.5881,         1.4715,     83098.9219,     72167.3281
   1740,         2.4340,         0.0256,         2.4596,         0.7950,         1.1650,       172.8187,       206.7421,       210.7666,       224.1843,       269.6733,       453.5225,         1.2946,     83098.1094,     72167.6719
   1741,         0.1430,         2.1047,         2.2476,         0.1784,         0.8470,       172.3169,       206.6908,       210.5455,       224.3443,       269.6583,       453.4572,         1.4006,     83097.1875,     72168.0469
   1742,         2.0002,         0.6286,         2.6288,         0.9413,         1.2132,       172.1979,       206.7157,       210.6295,       224.4929,       269.6424,       453.3936,         1.4156,     83096.2812,     72168.4219
   1743,         2.8196,         0.2305,         3.0501,         1.6551,         1.5532,       172.4356,       206.8122,       211.0001,       224.5885,       269.6213,       453.3336,         1.4969,     83095.2891,     72168.8516
   1744,         2.8744,         0.5225,         3.3969,         1.9989,         1.7005,       172.8439,       206.9434,       211.5094,       224.5587,       269.5872,       453.2781,         1.6964,     83094.1875,     72169.3359
   1745,         1.3442,         1.2833,         2.6275,         0.7703,         1.0683,       172.6371,       206.9517,       211.5259,       224.6226,       269.5628,       453.2152,         1.5592,     83093.1250,     72169.8359
   1746,         1.4254,         0.7409,         2.1663,         0.1839,         0.7987,       172.1387,       206.9009,       211.3061,       224.8052,       269.5505,       453.1494,         1.3676,     83092.2734,     72170.2109
   1747,         2.5644,        -0.0916,         2.4728,         0.8507,         1.1397,       171.9749,       206.9172,       211.3555,       224.9999,       269.5393,       453.0878,         1.3331,     83091.4531,     72170.5859
