 day,CH4emit_d,watertable,swc1,swc2,swc3,stsurf,st1,st2
    231,         0.2887,         3.0151,         0.0953,         0.0933,         0.0939,        18.1608,        17.4400,        16.6750
    232,         0.2867,        -9.2266,         0.0953,         0.0933,         0.0939,        16.2229,        16.4958,        16.4813
    233,         0.2400,       -27.1328,         0.0953,         0.0933,         0.0939,        15.4842,        15.9175,        16.0346
    234,         0.2086,       -36.4364,         0.0953,         0.0933,         0.0939,        16.2817,        16.0975,        15.7813
    235,         0.1820,       -42.3135,         0.0953,         0.0935,         0.0940,        17.5138,        16.7163,        15.9396
    236,         0.1474,       -47.3087,         0.0953,         0.0934,         0.0939,        17.4250,        16.8167,        16.1658
    237,         0.1686,       -51.7550,         0.0953,         0.0933,         0.0939,        16.3487,        16.2808,        16.0692
    238,         0.1631,       -55.3987,         0.0947,         0.0933,         0.0938,        16.9767,        16.5188,        16.0042
    239,         0.1278,       -59.0658,         0.0930,         0.0933,         0.0939,        15.6142,        15.8958,        15.9213
    240,         0.1410,       -61.4559,         0.0917,         0.0934,         0.0939,        15.2971,        15.6025,        15.6446
    241,         0.1316,       -63.7265,         0.0901,         0.0934,         0.0939,        15.7637,        15.7046,        15.5417
    242,         0.1187,       -65.7798,         0.0892,         0.0934,         0.0939,        16.5742,        16.0237,        15.4704
    243,         0.1367,       -65.9969,         0.0891,         0.0935,         0.0940,        16.9592,        16.2296,        15.5329
    244,         0.1408,       -66.5375,         0.0884,         0.0935,         0.0940,        17.7621,        16.6771,        15.7475
    245,         0.1182,       -67.8960,         0.0873,         0.0936,         0.0940,        17.5312,        16.8196,        16.1062
    246,         0.1240,       -69.7937,         0.0862,         0.0936,         0.0940,        15.7571,        15.9546,        15.9554
    247,         0.1298,       -71.6104,         0.0848,         0.0935,         0.0940,        15.3788,        15.6538,        15.6688
    248,         0.1249,       -73.8764,         0.0834,         0.0935,         0.0940,        13.0892,        14.3663,        15.1400
    249,         0.1327,       -75.9175,         0.0821,         0.0934,         0.0940,        12.7883,        13.8921,        14.5533
    250,         0.1281,       -77.8571,         0.0807,         0.0935,         0.0940,        13.2775,        13.8979,        14.2154
    251,         0.1237,       -79.6846,         0.0793,         0.0934,         0.0940,        14.0375,        14.1804,        14.1592
    252,         0.1188,       -81.8337,         0.0777,         0.0933,         0.0939,        14.3692,        14.3675,        14.2492
    253,         0.1035,       -83.9355,         0.0766,         0.0930,         0.0939,        14.5554,        14.4833,        14.3271
    254,         0.1149,       -85.5350,         0.0762,         0.0921,         0.0940,        14.6696,        14.5746,        14.4083
    255,         0.1071,       -87.1692,         0.0756,         0.0912,         0.0939,        14.9200,        14.7221,        14.4742
    256,         0.0991,       -89.0452,         0.0754,         0.0902,         0.0939,        12.8400,        13.7975,        14.3500
    257,         0.0967,       -90.7105,         0.0748,         0.0893,         0.0939,        10.6363,        12.5650,        13.8171
    258,         0.1107,       -92.3380,         0.0743,         0.0884,         0.0940,         8.3892,        11.1058,        12.9625
    259,         0.1118,       -93.9086,         0.0738,         0.0875,         0.0939,         8.0883,        10.5037,        12.1742
    260,         0.1129,       -95.3050,         0.0733,         0.0867,         0.0940,         8.8075,        10.4775,        11.6425
    261,         0.0780,       -92.1889,         0.0767,         0.0894,         0.0941,        10.7417,        11.2521,        11.5758
    262,         0.0958,       -89.2501,         0.0762,         0.0888,         0.0941,        10.0213,        10.9558,        11.5875
    263,         0.0738,       -87.2943,         0.0789,         0.0916,         0.0942,        10.6658,        11.1625,        11.5283
    264,         0.0530,       -77.4072,         0.0826,         0.0931,         0.0942,        10.8596,        11.1996,        11.4288
    265,         0.0988,       -76.2094,         0.0815,         0.0936,         0.0943,        10.0096,        10.8250,        11.4192
