 sdoy, GPP_d,NEE_d,Reco_d,QC(1),QC(6),QC(2),QC(7), QC(3),QC(4),QC678,pheno,QC(5),NPP_d,Rh_d,Ra_d
   8872,         2.9819,        -1.4032,         1.5787,       151.7334,       478.1937,        76.5534,     80780.9219,       194.6564,       359.4587,    154160.6094,       106.0000,       258.4528,         2.4333,         0.6711,         0.9076
   8873,         0.2730,         0.9561,         1.2290,       153.0791,       478.2402,        76.4857,     80780.5625,       194.3861,       359.6548,    154160.4688,       106.0000,       258.4813,         1.7473,         0.6402,         0.5889
   8874,         0.7138,         0.4987,         1.2126,       154.4214,       478.2845,        76.4182,     80780.2734,       194.1162,       359.8745,    154160.3125,       106.0000,       258.5104,         1.7473,         0.6129,         0.5997
   8875,         0.5404,         0.6849,         1.2253,       155.7601,       478.3313,        76.3506,     80779.8984,       193.8466,       360.0806,    154160.1875,       106.0000,       258.5387,         1.7473,         0.6344,         0.5909
   8876,         0.1834,         0.8422,         1.0256,       157.0953,       478.3680,        76.2830,     80779.7109,       193.5773,       360.3476,    154160.0312,       106.0000,       258.5704,         1.7473,         0.5668,         0.4588
   8877,         0.2018,         0.7608,         0.9627,       158.4270,       478.4020,        76.2156,     80779.5234,       193.3083,       360.6418,    154159.8750,       106.0000,       258.6036,         1.7473,         0.5371,         0.4256
   8878,         1.1946,        -0.0890,         1.1056,       159.7552,       478.4420,        76.1482,     80779.2969,       193.0400,       360.9100,    154159.7344,       106.0000,       258.6351,         1.7473,         0.5711,         0.5345
   8879,         1.9069,        -0.5921,         1.3147,       161.2227,       478.4884,        76.1096,     80779.0078,       192.8864,       361.1364,    154159.5938,       106.0000,       258.6639,         2.0333,         0.6230,         0.6918
   8880,         1.7434,        -0.3323,         1.4110,       162.6389,       478.5420,        76.0614,     80778.6328,       192.6949,       361.3141,    154159.4531,       106.0000,       258.6895,         1.9381,         0.6959,         0.7151
   8881,         0.3784,         1.0141,         1.3925,       163.9559,       478.5922,        75.9942,     80778.2578,       192.4276,       361.5043,    154159.3125,       106.0000,       258.7158,         1.7473,         0.6897,         0.7028
   8882,         2.4704,        -0.8072,         1.6632,       165.5517,       478.6472,        75.9835,     80777.8828,       192.3863,       361.6751,    154159.1875,       106.0000,       258.7407,         2.3119,         0.7086,         0.9546
   8883,         2.5269,        -0.7731,         1.7538,       167.1763,       478.7094,        75.9794,     80777.5078,       192.3714,       361.7990,    154159.0625,       106.0000,       258.7625,         2.3781,         0.7736,         0.9801
   8884,         3.0172,        -1.0133,         2.0039,       168.9030,       478.7818,        75.9966,     80777.0469,       192.4418,       361.8564,    154158.8594,       106.0000,       258.7802,         2.5912,         0.8663,         1.1376
   8885,         3.6830,        -1.5216,         2.1615,       170.6722,       478.8590,        76.0233,     80776.5625,       192.5499,       361.8750,    154158.6406,       106.0000,       258.7951,         2.6853,         0.9403,         1.2212
   8886,         3.2774,        -1.0327,         2.2447,       172.4202,       478.9398,        76.0465,     80776.0391,       192.6445,       361.8603,    154158.3750,       106.0000,       258.8079,         2.6521,         0.9990,         1.2457
   8887,         2.8312,        -0.6254,         2.2058,       174.0800,       479.0197,        76.0531,     80775.4766,       192.6723,       361.8402,    154158.0938,       106.0000,       258.8201,         2.4849,         1.0181,         1.1876
   8888,         2.8449,        -0.5055,         2.3394,       175.8160,       479.1024,        76.0758,     80774.8984,       192.7645,       361.8014,    154157.7812,       106.0000,       258.8309,         2.6460,         1.0485,         1.2909
   8889,         3.5784,        -1.0892,         2.4893,       177.6076,       479.1927,        76.1107,     80774.2656,       192.9054,       361.7173,    154157.4375,       106.0000,       258.8385,         2.7666,         1.1122,         1.3770
   8890,         3.2852,        -0.8032,         2.4819,       179.3545,       479.2779,        76.1383,     80773.6562,       193.0171,       361.6504,    154157.0938,       106.0000,       258.8463,         2.6866,         1.0971,         1.3848
   8891,         2.9457,        -0.5822,         2.3635,       181.0282,       479.3529,        76.1531,     80773.0859,       193.0771,       361.6387,    154156.7812,       106.0000,       258.8567,         2.5490,         1.0338,         1.3296
   8892,         4.1324,        -1.5037,         2.6287,       182.8477,       479.4304,        76.1988,     80772.4766,       193.2610,       361.6190,    154156.4375,       106.0000,       258.8658,         2.8499,         1.0435,         1.5852
   8893,         3.2507,        -0.4684,         2.7824,       184.4676,       479.5105,        76.2265,     80771.8750,       193.3727,       361.5848,    154156.0938,       106.0000,       258.8732,         2.5600,         1.0614,         1.7210
   8894,         3.2705,        -0.3712,         2.8994,       186.0545,       479.5916,        76.2604,     80771.2812,       193.5093,       361.5439,    154155.7812,       106.0000,       258.8794,         2.5583,         1.0700,         1.8294
   8895,         4.2614,        -1.2223,         3.0391,       187.7329,       479.6837,        76.3071,     80770.6406,       193.6970,       361.4417,    154155.4219,       106.0000,       258.8813,         2.7152,         1.1462,         1.8929
   8896,         1.7421,         1.0895,         2.8316,       187.8434,       479.7726,        76.3651,     80769.9844,       193.9297,       361.3431,    154155.0312,       106.0000,       258.8840,         1.2097,         1.1531,         1.6785
   8897,         1.6084,         0.8770,         2.4854,       187.6126,       479.8669,        76.3533,     80769.2344,       193.8827,       361.2014,    154154.5625,       106.0000,       258.8849,         0.5276,         1.2179,         1.2675
   8898,         2.5785,        -0.0534,         2.5251,       187.4345,       479.9547,        76.3520,     80768.5703,       193.8781,       361.0880,    154154.2031,       106.0000,       258.8875,         0.6317,         1.1854,         1.3398
   8899,         2.6207,        -0.0733,         2.5474,       187.3615,       480.0273,        76.3723,     80767.9453,       193.9602,       361.0592,    154153.8438,       106.0000,       258.8947,         0.8410,         1.0811,         1.4663
   8900,         1.1735,         0.8780,         2.0516,       186.8686,       480.0911,        76.3086,     80767.3828,       193.7059,       361.0816,    154153.5312,       106.0000,       258.9049,         0.0000,         1.0168,         1.0348
   8901,         0.7845,         1.3148,         2.0993,       186.3769,       480.1614,        76.2414,     80766.8203,       193.4378,       361.0685,    154153.2188,       106.0000,       258.9152,         0.0000,         1.0739,         1.0254
   8902,         1.7230,         0.4399,         2.1629,       185.9173,       480.2379,        76.1801,     80766.2344,       193.1938,       361.0256,    154152.9062,       106.0000,       258.9237,         0.0616,         1.1058,         1.0571
   8903,         2.1421,         0.2121,         2.3542,       185.5934,       480.3187,        76.1458,     80765.5781,       193.0577,       360.9550,    154152.5156,       106.0000,       258.9307,         0.3309,         1.1369,         1.2173
   8904,         3.2451,        -0.4710,         2.7741,       185.6408,       480.3962,        76.1857,     80764.9297,       193.2185,       360.8975,    154152.1250,       106.0000,       258.9385,         1.0726,         1.1235,         1.6506
   8905,         3.4186,        -0.3830,         3.0356,       185.8802,       480.4796,        76.2641,     80764.2656,       193.5331,       360.8074,    154151.7500,       106.0000,       258.9443,         1.4568,         1.1625,         1.8731
   8906,         4.9489,        -1.7788,         3.1701,       186.1002,       480.5861,        76.3387,     80763.5625,       193.8321,       360.5793,    154151.4375,       106.0000,       258.9418,         1.4196,         1.3287,         1.8414
   8907,         4.8534,        -1.6539,         3.1995,       186.2956,       480.6888,        76.4083,     80762.8594,       194.1114,       360.3555,    154151.1562,       106.0000,       258.9394,         1.3713,         1.3322,         1.8672
   8908,         2.9621,         0.1231,         3.0852,       186.3626,       480.7880,        76.4524,     80762.2812,       194.2879,       360.1341,    154151.0312,       106.0000,       258.9371,         1.1157,         1.3319,         1.7533
   8909,         2.1380,         0.5753,         2.7132,       186.0725,       480.8845,        76.4249,     80761.7188,       194.1784,       359.9155,    154150.9375,       106.0000,       258.9349,         0.4008,         1.3287,         1.3846
   8910,         1.1547,         1.3036,         2.4583,       185.5829,       480.9705,        76.3573,     80761.0703,       193.9087,       359.7468,    154150.6719,       106.0000,       258.9358,         0.0000,         1.2739,         1.1843
