 sdoy, GPP_d, NEE_d, Reco_d, NPP_d, Ra_d, QC1, QC2, QC3, QC4,QC5,QC6, Rh_d,QC7,QC8
   8922,         4.2666,         0.1557,         4.4222,         1.8649,         2.5700,       189.8472,        77.5874,       198.8239,       354.4736,       258.7425,       482.4263,         1.8522,     80750.9141,     72913.1719
   8923,         5.3496,        -0.9255,         4.4241,         1.7705,         2.5298,       190.2321,        77.6960,       199.2560,       353.8545,       258.7154,       482.5575,         1.8944,     80749.9297,     72913.6406
   8924,         2.4205,         1.9101,         4.3306,         1.8312,         2.5672,       190.6464,        77.8104,       199.7116,       353.3156,       258.6930,       482.6723,         1.7634,     80748.9609,     72914.0469
   8925,         5.5408,        -0.8068,         4.7340,         2.3566,         2.7996,       191.3216,        77.9772,       200.3766,       352.6061,       258.6598,       482.8095,         1.9344,     80747.9141,     72914.5547
   8926,         5.1759,        -0.7954,         4.3805,         1.5873,         2.4229,       191.6111,        78.0671,       200.7332,       351.8882,       258.6259,       482.9399,         1.9576,     80746.8359,     72915.1172
   8927,         5.3458,        -0.7819,         4.5640,         1.8357,         2.5894,       192.0240,        78.1816,       201.1887,       351.1593,       258.5911,       483.0703,         1.9746,     80745.7188,     72915.6797
   8928,         5.0096,        -0.1175,         4.8921,         2.3362,         2.8578,       192.6853,        78.3461,       201.8433,       350.3857,       258.5532,       483.2046,         2.0343,     80744.6250,     72916.2422
   8929,         3.8539,         0.8572,         4.7110,         2.0701,         2.7004,       193.2122,        78.4838,       202.3907,       349.6424,       258.5169,       483.3295,         2.0107,     80743.5312,     72916.8047
   8930,         4.1638,         0.3207,         4.4844,         1.7470,         2.5078,       193.5762,        78.5891,       202.8082,       348.9344,       258.4831,       483.4471,         1.9766,     80742.4531,     72917.3672
   8931,         4.3897,        -0.1087,         4.2810,         1.5092,         2.3874,       193.8208,        78.6706,       203.1301,       348.3020,       258.4538,       483.5523,         1.8936,     80741.3672,     72917.9219
   8932,         4.1217,         0.1997,         4.3215,         1.6216,         2.4619,       194.1210,        78.7633,       203.4966,       347.6989,       258.4261,       483.6542,         1.8596,     80740.2734,     72918.4531
   8933,         5.5238,        -1.1497,         4.3741,         1.6868,         2.4984,       194.4527,        78.8624,       203.8886,       347.0822,       258.3972,       483.7600,         1.8757,     80739.2266,     72918.9688
   8934,         4.4680,         0.1534,         4.6214,         2.1449,         2.7614,       195.0121,        79.0071,       204.4633,       346.4837,       258.3693,       483.8606,         1.8600,     80738.1484,     72919.4844
   8935,         3.3157,         0.9381,         4.2538,         1.5238,         2.4196,       195.2603,        79.0897,       204.7888,       345.9108,       258.3427,       483.9561,         1.8343,     80737.0547,     72920.0156
   8936,         2.8003,         1.0379,         3.8382,         0.8527,         2.0494,       195.1724,        79.1050,       204.8456,       345.3817,       258.3186,       484.0442,         1.7888,     80736.0469,     72920.4609
   8937,         4.5686,        -0.5453,         4.0233,         1.3156,         2.3077,       195.3161,        79.1666,       205.0874,       344.9163,       258.2984,       484.1230,         1.7156,     80735.0469,     72920.8984
   8938,         5.5819,        -1.4871,         4.0948,         1.3857,         2.3812,       195.4943,        79.2353,       205.3571,       344.4518,       258.2781,       484.2037,         1.7137,     80734.0859,     72921.3438
   8939,         2.5882,         1.7698,         4.3580,         1.7811,         2.6004,       195.8697,        79.3434,       205.7843,       343.9582,       258.2558,       484.2889,         1.7576,     80733.0703,     72921.7969
   8940,         4.7461,        -0.0067,         4.7394,         2.4212,         2.8770,       196.5635,        79.5153,       206.4665,       343.3662,       258.2273,       484.3875,         1.8624,     80732.0078,     72922.2969
   8941,         5.4863,        -0.7763,         4.7100,         2.2050,         2.7694,       197.1475,        79.6655,       207.0613,       342.7158,       258.1953,       484.4916,         1.9406,     80730.8984,     72922.8594
   8942,         3.9510,         0.4758,         4.4268,         1.7156,         2.5092,       197.4856,        79.7666,       207.4597,       342.1211,       258.1666,       484.5826,         1.9176,     80729.7891,     72923.4062
   8943,         5.4518,        -1.1520,         4.2998,         1.4781,         2.3933,       197.7043,        79.8439,       207.7627,       341.5558,       258.1394,       484.6684,         1.9065,     80728.7500,     72923.8984
   8944,         5.9212,        -1.3720,         4.5491,         1.7249,         2.5723,       198.0458,        79.9458,       208.1640,       340.9456,       258.1093,       484.7607,         1.9769,     80727.7109,     72924.3906
   8945,         5.6252,        -0.8259,         4.7993,         1.8873,         2.6796,       198.4675,        80.0639,       208.6297,       340.2271,       258.0721,       484.8672,         2.1197,     80726.5859,     72924.9219
   8946,         5.4418,        -0.0619,         5.3799,         2.4532,         2.9730,       199.1703,        80.2383,       209.3209,       339.2856,       258.0203,       485.0024,         2.4069,     80725.3203,     72925.3984
   8947,         5.8573,        -0.4509,         5.4064,         2.4523,         2.9677,       199.8709,        80.4127,       210.0107,       338.3163,       257.9662,       485.1318,         2.4386,     80724.0234,     72925.8672
   8948,         5.4020,        -0.2946,         5.1075,         2.0780,         2.7860,       200.3826,        80.5494,       210.5500,       337.4714,       257.9199,       485.2351,         2.3214,     80722.8281,     72926.3750
   8949,         5.7785,        -0.9022,         4.8763,         1.7440,         2.6645,       200.7266,        80.6526,       210.9554,       336.7263,       257.8801,       485.3229,         2.2118,     80721.6484,     72926.8984
   8950,         5.2983,        -0.2630,         5.0352,         1.9259,         2.7743,       201.1605,        80.7740,       211.4328,       335.9462,       257.8377,       485.4155,         2.2609,     80720.5000,     72927.4141
   8951,         5.9668,        -0.9454,         5.0213,         1.7956,         2.7303,       201.5280,        80.8821,       211.8574,       335.1485,       257.7939,       485.5088,         2.2910,     80719.3203,     72927.9141
   8952,         3.5964,         1.3867,         4.9830,         1.8435,         2.7885,       201.9187,        80.9951,       212.3013,       334.4340,       257.7551,       485.5882,         2.1945,     80718.2188,     72928.4766
   8953,         2.6228,         2.5374,         5.1602,         2.3389,         2.9779,       202.5554,        81.1574,       212.9415,       333.7329,       257.7169,       485.6645,         2.1823,     80717.0938,     72929.0391
   8954,         2.9069,         1.5268,         4.4337,         1.2181,         2.3438,       202.6309,        81.2074,       213.1328,       333.1060,       257.6831,       485.7296,         2.0899,     80716.0469,     72929.6016
   8955,         5.8972,        -1.2347,         4.6625,         1.6945,         2.6020,       202.9443,        81.3051,       213.5145,       332.5030,       257.6506,       485.7933,         2.0604,     80714.9453,     72930.1250
   8956,         6.1680,        -0.9291,         5.2389,         2.3887,         2.9779,       203.6032,        81.4720,       214.1729,       331.7418,       257.6078,       485.8788,         2.2611,     80713.7969,     72930.6328
   8957,         5.8413,        -0.9145,         4.9268,         1.8703,         2.7405,       204.0016,        81.5873,       214.6246,       331.0482,       257.5689,       485.9517,         2.1863,     80712.6562,     72931.1562
   8958,         4.6872,         0.3202,         5.0074,         1.8349,         2.7492,       204.3815,        81.6991,       215.0621,       330.2969,       257.5264,       486.0310,         2.2583,     80711.4219,     72931.6562
   8959,         6.1263,        -0.7520,         5.3743,         2.2899,         2.9677,       204.9871,        81.8558,       215.6789,       329.4311,       257.4763,       486.1205,         2.4066,     80710.1641,     72932.1328
   8960,         5.6575,        -0.6778,         4.9796,         1.7546,         2.7386,       205.3243,        81.9588,       216.0811,       328.7115,       257.4354,       486.1860,         2.2411,     80708.9766,     72932.6562
   8961,         6.0071,        -0.5178,         5.4894,         2.4481,         3.1048,       206.0067,        82.1312,       216.7598,       327.8818,       257.3868,       486.2653,         2.3846,     80707.6953,     72933.1328
   8962,         4.3744,         1.0781,         5.4525,         2.3714,         3.0579,       206.6490,        82.2956,       217.4070,       327.0199,       257.3357,       486.3448,         2.3947,     80706.4141,     72933.5938
   8963,         5.4705,         0.0426,         5.5132,         2.4601,         3.0577,       207.3338,        82.4689,       218.0886,       326.0580,       257.2777,       486.4281,         2.4555,     80705.0156,     72933.9688
   8964,         5.0104,         0.3437,         5.3541,         2.3455,         2.9907,       207.9595,        82.6305,       218.7235,       325.1878,       257.2260,       486.4935,         2.3635,     80703.6484,     72934.3828
